행정동코드,자치구,행정동,장애인인구비율,급속충전소수,장애인콜택시도착건수,cluster,silhouette coefficient
11110530,종로구,사직동,0.000681392,3,14.25,1,0.6834234641888739
11110540,종로구,삼청동,0.000280723,0,0.0,0,0.8858100302001914
11110550,종로구,부암동,0.000793681,0,0.0,0,0.8858205378898945
11110560,종로구,평창동,0.001253046,0,9.0,1,0.09477811266235486
11110570,종로구,무악동,0.00082941,0,0.0,0,0.8858211705240848
11110580,종로구,교남동,0.000885554,0,0.0,0,0.8858221029625035
11110670,종로구,창신1동,0.000673736,0,0.0,0,0.8858182774310566
11110690,종로구,창신3동,0.000870242,0,0.0,0,0.8858218582702013
11110515,종로구,청운효자동,0.001115237,1,15.55555556,1,0.7237583400711312
11110650,종로구,혜화동,0.001472521,0,6.0,0,0.4575321832664082
11140540,중구,회현동,0.000722224,1,12.4,1,0.582534273629459
11140580,중구,장충동,0.000505302,0,6.0,0,0.45753018325430667
11140680,중구,중림동,0.00134492,1,0.0,0,0.8934895240590686
11140615,중구,신당동,0.00103102,2,0.0,0,0.8585624351985808
11140635,중구,약수동,0.002148809,1,0.0,0,0.8934919714447641
11140645,중구,청구동,0.001605227,0,0.0,0,0.8858281973588596
11170510,용산구,후암동,0.001868086,0,0.0,0,0.8858267022543184
11170530,용산구,남영동,0.001324503,2,10.85714286,1,0.4397954762920925
11170570,용산구,원효로2동,0.001186694,0,0.0,0,0.8858262715967267
11170580,용산구,효창동,0.000900866,3,0.0,0,0.808194548759441
11170630,용산구,이촌1동,0.001276015,1,0.0,0,0.8934885517533381
11170560,용산구,원효로1동,0.001125445,0,0.0,0,0.8858255066792889
11170685,용산구,한남동,0.001505697,2,0.0,0,0.8585649273604111
11200540,성동구,마장동,0.002671975,4,24.15384615,1,0.2896176238076738
11200550,성동구,사근동,0.00090597,0,16.0,1,0.7081260319162914
11200580,성동구,응봉동,0.001360232,0,0.0,0,0.8858277360765467
11200650,성동구,성수1가1동,0.001480177,3,15.25,1,0.7118442072236684
11200790,성동구,용답동,0.001574602,0,0.0,0,0.8858282850016632
11200615,성동구,금호2.3가동,0.002375939,2,0.0,0,0.8585644117309951
11215760,광진구,중곡3동,0.001896158,0,0.0,0,0.8858264350526109
11215780,광진구,능동,0.000977427,1,0.0,0,0.8934830076607467
11215860,광진구,구의2동,0.002679631,3,36.23076923,2,0.6314623995579141
11215870,광진구,구의3동,0.002021207,0,19.0,1,0.6959373422536108
11215810,광진구,광장동,0.001832357,0,6.0,0,0.4575324314924645
11215830,광진구,자양2동,0.002391252,0,16.0,1,0.7081260778633471
11215840,광진구,자양3동,0.002008447,0,12.0,1,0.5235626123612659
11215847,광진구,자양4동,0.002197297,0,0.0,0,0.8858226616903401
11230705,동대문구,청량리동,0.003116028,1,9.333333333,1,0.18958926683434674
11230610,동대문구,답십리2동,0.003641746,0,0.0,0,0.88579650784387
11230650,동대문구,장안1동,0.004251681,2,16.0,1,0.7342333245648769
11230750,동대문구,이문2동,0.002610726,0,0.0,0,0.8858166424481253
11260520,중랑구,면목2동,0.003098164,1,0.0,0,0.8934826323701924
11260540,중랑구,면목4동,0.003233421,2,0.0,0,0.8585601183745553
11260570,중랑구,면목7동,0.002567342,0,0.0,0,0.8858173460226061
11260620,중랑구,묵1동,0.003685131,2,14.5,1,0.7035402528592652
11260680,중랑구,신내1동,0.00500453,4,36.8,2,0.6309133943123435
11260690,중랑구,신내2동,0.003863773,3,14.33333333,1,0.686456624761886
11260655,중랑구,망우본동,0.004836096,5,18.92307692,1,0.6665705539883534
11290780,성북구,장위3동,0.001498041,0,0.0,0,0.8858282597688446
11290705,성북구,종암동,0.004170016,0,15.2,1,0.6931436313685835
11290810,성북구,석관동,0.004483916,1,6.666666667,0,0.35867913340732455
11305590,강북구,번1동,0.002531613,1,10.5,1,0.385923597002658
11305600,강북구,번2동,0.003406959,5,21.07142857,1,0.5495208445800166
11305606,강북구,번3동,0.005083643,3,18.73333333,1,0.7137987195418349
11305610,강북구,수유1동,0.003207901,1,13.5,1,0.653403835064086
11305630,강북구,수유3동,0.002899106,1,0.0,0,0.8934854436209786
11305534,강북구,삼양동,0.003322742,1,0.0,0,0.89347891142651
11305645,강북구,우이동,0.002646455,1,10.8,1,0.42535373291080014
11305660,강북구,인수동,0.004517092,4,33.54545455,2,0.5690587845454681
11320660,도봉구,쌍문1동,0.002957802,1,0.0,0,0.8934846780874706
11320680,도봉구,쌍문3동,0.002176881,2,13.75,1,0.6731308930317802
11320681,도봉구,쌍문4동,0.001663923,0,0.0,0,0.8858279702752012
11320690,도봉구,방학1동,0.003787212,4,12.55555556,1,0.5648101818159058
11320700,도봉구,방학2동,0.003172173,2,0.0,0,0.8585605198880214
11320710,도봉구,방학3동,0.002641351,0,15.0,1,0.6877991694402793
11320511,도봉구,창1동,0.002531613,3,9.0,1,0.13904276124038917
11320512,도봉구,창2동,0.003437584,0,6.5,0,0.3883590187542597
11320513,도봉구,창3동,0.001995687,0,6.75,0,0.35037377407003184
11320514,도봉구,창4동,0.00243974,1,12.28571429,1,0.5736329876860263
11320515,도봉구,창5동,0.002444844,1,0.0,0,0.8934902515910503
11320521,도봉구,도봉1동,0.0037719,3,10.0,1,0.3133518641563023
11320522,도봉구,도봉2동,0.003769348,6,32.83333333,2,0.5184129071136141
11350560,노원구,월계1동,0.002381044,2,10.14285714,1,0.34177199619867293
11350570,노원구,월계2동,0.005691026,2,22.33333333,1,0.5013779761128819
11350580,노원구,월계3동,0.005035154,3,25.23076923,1,0.16075103844017977
11350600,노원구,공릉2동,0.003549873,4,16.57142857,1,0.7045772469116861
11350611,노원구,하계1동,0.005088747,4,67.33333333,2,0.3764424633739496
11350619,노원구,중계본동,0.001896158,2,7.0,0,0.28419496232293384
11350621,노원구,중계1동,0.001855325,1,13.5,1,0.6534038268303509
11350624,노원구,중계4동,0.003754035,6,14.76923077,1,0.6000272625783579
11350630,노원구,상계1동,0.004876928,4,28.26666667,2,0.25032024682254533
11350640,노원구,상계2동,0.002166673,8,21.21428571,1,0.4514619906057176
11350670,노원구,상계5동,0.003297222,0,15.85714286,1,0.7062934035905569
11350700,노원구,상계8동,0.001845117,0,0.0,0,0.8858268902637937
11350720,노원구,상계10동,0.001467417,1,0.0,0,0.8934908308474505
11350665,노원구,상계3.4동,0.004126632,4,11.5,1,0.475818737483504
11350695,노원구,상계6.7동,0.003223213,6,71.66666667,2,0.34964299410192173
11350625,노원구,중계2.3동,0.007901083,6,29.26666667,2,0.3307093495749883
11350595,노원구,공릉1동,0.005622121,4,22.0,1,0.503923579529076
11380510,은평구,녹번동,0.004254233,3,14.16666667,1,0.680151842065718
11380551,은평구,갈현1동,0.002176881,2,0.0,0,0.8585650190052201
11380552,은평구,갈현2동,0.003195141,0,10.5,1,0.35709959198275554
11380560,은평구,구산동,0.005543008,3,40.30769231,2,0.6252797716260423
11380570,은평구,대조동,0.003172173,1,0.0,0,0.8934814741338267
11380580,은평구,응암1동,0.00347076,1,11.6,1,0.5129395004851725
11380631,은평구,신사1동,0.003136444,2,13.33333333,1,0.6510832678810985
11380632,은평구,신사2동,0.002266202,1,0.0,0,0.8934914276756516
11380640,은평구,증산동,0.002107976,1,17.55555556,1,0.7297961435998134
11380690,은평구,진관동,0.004999426,1,25.21428571,1,0.18514322439119346
11380530,은평구,불광2동,0.003715755,1,0.0,0,0.8934713929948548
11380600,은평구,응암3동,0.003429928,0,0.0,0,0.8858009901981809
11380625,은평구,역촌동,0.005456239,1,36.2,2,0.6164021632838615
11410520,서대문구,천연동,0.001788973,5,0.0,0,0.7032542847286535
11410620,서대문구,홍제1동,0.002419324,1,0.0,0,0.893490451271708
11410640,서대문구,홍제3동,0.00227641,2,16.8,1,0.7375493247159669
11410660,서대문구,홍은1동,0.002687287,2,0.0,0,0.8585631888299251
11410685,서대문구,홍은2동,0.00315686,2,21.71428571,1,0.551230721123435
11410690,서대문구,남가좌1동,0.00140872,2,0.0,0,0.8585645668789653
11410700,서대문구,남가좌2동,0.003024155,2,15.5,1,0.7277778190457009
11410720,서대문구,북가좌2동,0.003942886,1,16.7,1,0.7335735587910388
11410565,서대문구,충현동,0.001847669,5,0.0,0,0.7032542847651652
11410615,서대문구,연희동,0.003006291,4,36.46666667,2,0.6284779330150464
11440590,마포구,용강동,0.001564394,0,0.0,0,0.8858282980745703
11440600,마포구,대흥동,0.001209662,1,23.0,1,0.4407906334153831
11440610,마포구,염리동,0.001347472,0,0.0,0,0.8858276533362703
11440630,마포구,신수동,0.001720068,0,0.0,0,0.8858277045713597
11440660,마포구,서교동,0.001702204,0,13.5,1,0.6277100150458765
11440680,마포구,합정동,0.001413824,0,0.0,0,0.8858280021313701
11440690,마포구,망원1동,0.001931886,0,16.8,1,0.712670419815925
11440700,마포구,망원2동,0.001893606,0,0.0,0,0.8858264625448405
11440710,마포구,연남동,0.001242838,0,0.0,0,0.8858268624795659
11440720,마포구,성산1동,0.001689444,0,21.0,1,0.5896004365382003
11440730,마포구,성산2동,0.005104059,0,48.4,2,0.5179506480210835
11440740,마포구,상암동,0.003003739,0,40.6,2,0.601192667136082
11440585,마포구,도화동,0.001883398,0,0.0,0,0.8858265637111897
11440655,마포구,서강동,0.00172262,0,0.0,0,0.885827690291961
11440565,마포구,공덕동,0.003764244,0,6.0,0,0.4575285048647076
11440555,마포구,아현동,0.001737932,1,15.0,1,0.7119484568744835
11470510,양천구,목1동,0.001776213,0,7.5,0,0.22082516996887272
11470570,양천구,신월2동,0.002529061,1,0.0,0,0.8934894730113051
11470580,양천구,신월3동,0.002383596,3,0.0,0,0.8081951239358165
11470640,양천구,신정3동,0.005655297,2,34.53333333,2,0.5945666823961481
11470670,양천구,신정6동,0.001171382,2,22.6,1,0.4778639628917688
