행정동코드,자치구,행정동,장애인인구비율,급속충전소수,장애인콜택시도착건수,베리어프리시설수,버스정류장수,지하철수,공공체육시설수
11110530,종로구,사직동,0.000681392,3,14.25,3,45,2,6
11110540,종로구,삼청동,0.000280723,0,0,0,17,0,1
11110550,종로구,부암동,0.000793681,0,0,0,35,0,4
11110560,종로구,평창동,0.001253046,0,9,0,60,0,5
11110570,종로구,무악동,0.00082941,0,0,1,4,0,4
11110580,종로구,교남동,0.000885554,0,0,0,25,0,1
11110670,종로구,창신1동,0.000673736,0,0,0,17,1,2
11110690,종로구,창신3동,0.000870242,0,0,0,7,0,1
11110515,종로구,청운효자동,0.001115237,1,15.55555556,10,35,0,10
11110650,종로구,혜화동,0.001472521,0,6,0,34,0,2
11140540,중구,회현동,0.000722224,1,12.4,0,38,1,1
11140580,중구,장충동,0.000505302,0,6,0,17,1,6
11140680,중구,중림동,0.00134492,1,0,0,10,0,1
11140615,중구,신당동,0.00103102,2,0,0,8,0,3
11140635,중구,약수동,0.002148809,1,0,0,13,2,2
11140645,중구,청구동,0.001605227,0,0,0,3,1,1
11170510,용산구,후암동,0.001868086,0,0,0,19,0,1
11170530,용산구,남영동,0.001324503,2,10.85714286,0,21,2,2
11170570,용산구,원효로2동,0.001186694,0,0,1,27,0,2
11170580,용산구,효창동,0.000900866,3,0,0,17,0,7
11170630,용산구,이촌1동,0.001276015,1,0,0,25,1,2
11170560,용산구,원효로1동,0.001125445,0,0,0,23,0,2
11170685,용산구,한남동,0.001505697,2,0,2,48,1,4
11200540,성동구,마장동,0.002671975,4,24.15384615,1,32,1,1
11200550,성동구,사근동,0.00090597,0,16,0,36,1,3
11200580,성동구,응봉동,0.001360232,0,0,0,34,0,1
11200650,성동구,성수1가1동,0.001480177,3,15.25,0,32,0,3
11200790,성동구,용답동,0.001574602,0,0,0,11,2,2
11200615,성동구,금호2.3가동,0.002375939,2,0,0,51,0,1
11215760,광진구,중곡3동,0.001896158,0,0,0,24,1,2
11215780,광진구,능동,0.000977427,1,0,1,10,2,2
11215860,광진구,구의2동,0.002679631,3,36.23076923,0,26,1,2
11215870,광진구,구의3동,0.002021207,0,19,1,27,1,1
11215810,광진구,광장동,0.001832357,0,6,0,43,1,3
11215830,광진구,자양2동,0.002391252,0,16,0,14,1,4
11215840,광진구,자양3동,0.002008447,0,12,0,17,0,4
11215847,광진구,자양4동,0.002197297,0,0,0,15,1,2
